lag,period,horizon,target_pct,target_label,n,target_hits,target_hit_rate,target_hit_wilson_lower_95,target_hit_wilson_upper_95,mean_realized_return,median_realized_return,entry_dates,codes,events,retention_vs_parent_crosses
6,year_2024,T+20,1,target_1pct,3067,2644,0.8620802086729703,0.849422922370842,0.8738315756794643,-0.010975871220400104,0.01,178,1147,18873,0.33487703609070585
6,year_2024,T+20,2,target_2pct,3067,2489,0.8115422236713401,0.7973148386603901,0.8249901346733045,-0.008616151591216889,0.02,178,1147,18873,0.33487703609070585
6,year_2024,T+20,3,target_3pct,3067,2323,0.7574176719921748,0.7419313360099586,0.7722599527885258,-0.006279490131792932,0.03,178,1147,18873,0.33487703609070585
6,year_2024,T+20,4,target_4pct,3067,2165,0.7059015324421258,0.6895263177341037,0.7217615845790603,-0.004671212258491226,0.04,178,1147,18873,0.33487703609070585
6,year_2024,T+20,5,target_5pct,3067,2016,0.6573198565373329,0.6403353948040823,0.673910706329887,-0.002632737485327609,0.05,178,1147,18873,0.33487703609070585
6,year_2024,T+20,6,target_6pct,3067,1875,0.6113465927616564,0.593966137275166,0.6284484607294982,-0.0008908900451679436,0.06,178,1147,18873,0.33487703609070585
6,year_2024,T+20,7,target_7pct,3067,1736,0.5660254320182588,0.5484128193277128,0.5834728500601187,0.00108859586603153,0.07,178,1147,18873,0.33487703609070585
6,year_2024,T+20,8,target_8pct,3067,1594,0.5197261167264428,0.5020305039406445,0.5373723750616459,0.00224067978640335,0.08,178,1147,18873,0.33487703609070585
6,year_2024,T+20,9,target_9pct,3067,1470,0.4792957287251386,0.4616520922051316,0.4969911670238694,0.003586558505869789,0.048722044728434444,178,1147,18873,0.33487703609070585
6,year_2024,T+20,10,target_10pct,3067,1349,0.439843495272253,0.4223623641503863,0.45747513707403376,0.004408032540359584,0.030895983522141846,178,1147,18873,0.33487703609070585
6,year_2024,T+20,11,target_11pct,3067,1246,0.4062601891098794,0.38900595064256754,0.4237489631895234,0.005502692586047056,0.023395471037157556,178,1147,18873,0.33487703609070585
6,year_2024,T+20,12,target_12pct,3067,1147,0.3739810890120639,0.35702423296259345,0.391253242502113,0.006464639375351758,0.01829924650161474,178,1147,18873,0.33487703609070585
6,year_2024,T+20,13,target_13pct,3067,1088,0.35474404955983047,0.33800281758853024,0.37184870975824014,0.008031733844300675,0.01479899615920166,178,1147,18873,0.33487703609070585
6,year_2024,T+20,14,target_14pct,3067,1001,0.3263775676556896,0.31000909771645246,0.34318043833776796,0.00893015688887006,0.012499999999999956,178,1147,18873,0.33487703609070585
6,year_2024,T+20,15,target_15pct,3067,925,0.3015976524290838,0.28561112689928053,0.3180805776809883,0.009360579957363429,0.009419152276294973,178,1147,18873,0.33487703609070585
