lag,horizon,target_pct,n,target_hits,target_hit_rate,mean_realized_return,median_realized_return,entry_dates,codes
6,T+20,3,18390,13752,0.7477977161500816,-0.0006241286133542548,0.03,1161,2380
5,T+20,3,18561,13737,0.7401002101179893,-0.0010108063723922138,0.03,1157,2412
1,T+20,2,19753,15970,0.8084847871209436,-0.0012167976454609693,0.02,1159,2497
7,T+20,2,18246,14933,0.8184259563739997,-0.0013218269913481142,0.02,1158,2368
2,T+20,2,19491,15793,0.8102714073161972,-0.001572429418482427,0.02,1161,2475
0,T+20,2,20028,16191,0.8084182144997004,-0.0018934243079812025,0.02,1161,2519
4,T+20,2,19035,15393,0.8086682427107958,-0.002109122123178943,0.02,1161,2436
3,T+20,2,19222,15531,0.8079804390802205,-0.002220907398926058,0.02,1158,2460
6,T+20,2,18390,14937,0.8122349102773246,-0.00251886109658498,0.02,1161,2380
5,T+20,2,18561,14901,0.8028123484726039,-0.00321926745555716,0.02,1157,2412
1,T+20,1,19753,17268,0.8741963246089202,-0.003842394888492479,0.01,1159,2497
2,T+20,1,19491,17097,0.8771740803447745,-0.003946448616802333,0.01,1161,2475
7,T+20,1,18246,16047,0.8794804340677409,-0.004091262645239081,0.01,1158,2368
0,T+20,1,20028,17480,0.8727781106450969,-0.004580942287707805,0.01,1161,2519
4,T+20,1,19035,16568,0.8703966377725243,-0.004957716397241661,0.01,1161,2436
3,T+20,1,19222,16730,0.8703568827385287,-0.005066711878575926,0.01,1158,2460
6,T+20,1,18390,16087,0.874768896139206,-0.005159331198627757,0.01,1161,2380
5,T+20,1,18561,16094,0.8670869026453316,-0.005669547762107912,0.01,1157,2412
