lag,period,horizon,target_pct,target_label,n,target_hits,target_hit_rate,target_hit_wilson_lower_95,target_hit_wilson_upper_95,mean_target_zero_return,entry_dates,codes,events,retention_vs_parent_crosses
3,full_period,T+5,20,target_20pct,19394,521,0.02686397855006703,0.024680384916769344,0.0292349744085692,0.005372795710013406,1169,2473,19399,0.3442468767745599
3,full_period,T+6,1,target_1pct,19393,14843,0.7653792605579333,0.7593628203940908,0.7712905824774364,0.007653792605579333,1168,2473,19399,0.3442468767745599
3,full_period,T+6,2,target_2pct,19393,12795,0.6597741453101634,0.6530747907682102,0.6664102123984909,0.013195482906203268,1168,2473,19399,0.3442468767745599
3,full_period,T+6,3,target_3pct,19393,10780,0.5558706749858197,0.54886710582212,0.5628521134553113,0.01667612024957459,1168,2473,19399,0.3442468767745599
3,full_period,T+6,4,target_4pct,19393,9007,0.46444593409993296,0.4574342216483961,0.47147172972051116,0.018577837363997318,1168,2473,19399,0.3442468767745599
3,full_period,T+6,5,target_5pct,19393,7521,0.38782034754808437,0.3809853529597698,0.3946997771389365,0.01939101737740422,1168,2473,19399,0.3442468767745599
3,full_period,T+6,6,target_6pct,19393,6221,0.3207858505646367,0.3142522143039999,0.32739047457582254,0.019247151033878203,1168,2473,19399,0.3442468767745599
3,full_period,T+6,7,target_7pct,19393,5245,0.27045841282937144,0.2642524737403048,0.2767552746551865,0.018932088898056004,1168,2473,19399,0.3442468767745599
3,full_period,T+6,8,target_8pct,19393,4418,0.2278141597483628,0.22196524140633975,0.23377089245990781,0.018225132779869025,1168,2473,19399,0.3442468767745599
3,full_period,T+6,9,target_9pct,19393,3738,0.19274996132625175,0.18725921725985475,0.19836240889189974,0.017347496519362657,1168,2473,19399,0.3442468767745599
3,full_period,T+6,10,target_10pct,19393,3146,0.16222348269994327,0.1571018110926822,0.167478949519396,0.016222348269994327,1168,2473,19399,0.3442468767745599
3,full_period,T+6,11,target_11pct,19393,2660,0.13716289382766977,0.13239279558314124,0.14207671392710808,0.015087918321043675,1168,2473,19399,0.3442468767745599
3,full_period,T+6,12,target_12pct,19393,2254,0.11622750476976229,0.11179246954924509,0.12081455447264516,0.013947300572371474,1168,2473,19399,0.3442468767745599
3,full_period,T+6,13,target_13pct,19393,1931,0.09957201051925953,0.09543667538475982,0.10386595747274621,0.012944361367503739,1168,2473,19399,0.3442468767745599
